Variable,Coefficient,Std Error,t-statistic,P-value,Significant
const,0.0401,0.0291,1.3784,0.1681,
positive_ratio,0.1503,0.0842,1.7849,0.0743,*
negative_ratio,-0.3978,0.1043,-3.813,0.0001,***
uncertainty_ratio,0.1906,0.1733,1.0998,0.2714,
price_volatility_pre_event,0.6539,0.1622,4.0314,0.0001,***
log_market_cap,-0.0021,0.0011,-1.8329,0.0668,*
price_momentum_1month,0.2729,0.0185,14.7499,0.0,***
abnormal_turnover,-0.0,0.0,-0.8401,0.4009,
tech,-0.001,0.003,-0.3291,0.7421,
financial,-0.0003,0.0021,-0.146,0.8839,
healthcare,0.0022,0.0019,1.1727,0.2409,
energy,-0.001,0.0035,-0.289,0.7726,
consumer,0.0006,0.0019,0.3047,0.7606,
