ticker,count,status
UNH,57,Success
MET,65,Success
HD,89,Success
BKNG,61,Success
MCO,61,Success
ABT,68,Success
INTU,64,Success
COST,65,Success
TSM,61,Success
NKE,59,Success
LLY,77,Success
AZN,45,Success
MS,65,Success
BAC,77,Success
F,142,Success
TMO,67,Success
V,97,Success
QCOM,82,Success
AXP,72,Success
MCD,77,Success
IBM,83,Success
JNJ,91,Success
DUK,61,Success
ISRG,55,Success
XOM,76,Success
ASML,70,Success
FB,46,Success
INTC,90,Success
AMT,63,Success
FDX,52,Success
ORCL,70,Success
BA,80,Success
MA,99,Success
CRM,76,Success
T,121,Success
TSLA,43,Success
MDT,78,Success
UNP,61,Success
PEP,67,Success
BLK,59,Success
AMGN,84,Success
SAP,60,Success
BMY,101,Success
NFLX,77,Success
TMUS,51,Success
HON,76,Success
LMT,62,Success
SNY,48,Success
ADBE,66,Success
JPM,92,Success
TD,45,Success
EBAY,72,Success
GS,69,Success
PM,66,Success
CMCSA,93,Success
GM,100,Success
PG,86,Success
GOOG,77,Success
UPS,54,Success
MSFT,102,Success
